schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
P.S. 044 MARCUS GARVEY,40.686208,-73.940924,"432 MONROE ST BROOKLYN, NY 11221",BROOKLYN,11221,3%,83%,11%,93%,2%
THE URBAN ASSEMBLY UNISON SCHOOL,40.684336,-73.960549,"170 GATES AVE BROOKLYN, NY 11238",BROOKLYN,11238,15%,68%,14%,82%,3%
BRIGHTER CHOICE COMMUNITY SCHOOL,40.693761,-73.940731,"280 HART ST BROOKLYN, NY 11206",BROOKLYN,11206,0%,71%,29%,99%,1%
M.S. 053 BRIAN PICCOLO,40.603951,-73.749868,"10-45 NAMEOKE ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,1%,61%,37%,97%,1%
P.S. 105 THE BAY SCHOOL,40.595904,-73.781257,"420 BEACH 51ST ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,3%,66%,28%,94%,2%
P.S. 044 THOMAS C. BROWN,40.631586,-74.157068,"80 MAPLE PKWY STATEN ISLAND, NY 10303",STATEN ISLAND,10303,3%,39%,52%,91%,2%
P.S./I.S. 045 HORACE E. GREENE,40.686658,-73.910178,"84 SCHAEFER ST BROOKLYN, NY 11207",BROOKLYN,11207,2%,48%,47%,95%,1%
P.S. 134 HENRIETTA SZOLD,40.714301,-73.982966,"293 E BROADWAY NEW YORK, NY 10002",NEW YORK,10002,21%,20%,55%,75%,3%
P.S. 5 PORT MORRIS,40.813613,-73.908429,"564 JACKSON AVE BRONX, NY 10455",BRONX,10455,0%,27%,71%,98%,1%
P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,40.82229,-73.88896,"984 FAILE ST BRONX, NY 10459",BRONX,10459,1%,26%,71%,97%,1%
P.S. 146 EDWARD COLLINS,40.825125,-73.90592,"968 CAULDWELL AVE BRONX, NY 10456",BRONX,10456,1%,42%,55%,97%,0%
P.S. 126 DR MARJORIE H DUNBAR,40.836201,-73.928346,"175 W 166TH ST BRONX, NY 10452",BRONX,10452,1%,26%,71%,97%,2%
URBAN SCIENCE ACADEMY,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456,1%,30%,67%,97%,1%
P.S. 091 BRONX,40.858716,-73.907408,"2220 AQUEDUCT AVE BRONX, NY 10453",BRONX,10453,3%,18%,76%,94%,2%
FAIRMONT NEIGHBORHOOD SCHOOL,40.834237,-73.887144,"1550 VYSE AVE BRONX, NY 10460",BRONX,10460,0%,40%,57%,98%,2%
P.S. 536,40.838212,-73.866026,"1827 ARCHER ST BRONX, NY 10460",BRONX,10460,6%,20%,71%,91%,2%
P.S. 067 CHARLES A. DORSEY,40.695143,-73.977889,"51 ST EDWARDS ST BROOKLYN, NY 11205",BROOKLYN,11205,8%,54%,35%,88%,1%
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,40.697012,-73.976044,"101 PARK AVE BROOKLYN, NY 11205",BROOKLYN,11205,2%,73%,23%,96%,0%
P.S. 028 THE WARREN PREP ACADEMY,40.678161,-73.920219,"1001 HERKIMER ST BROOKLYN, NY 11233",BROOKLYN,11233,1%,83%,11%,94%,5%
J.H.S. 057 WHITELAW REID,40.691396,-73.93314,"125 STUYVESANT AVE BROOKLYN, NY 11221",BROOKLYN,11221,0%,66%,32%,98%,1%
P.S. 081 THADDEUS STEVENS,40.692927,-73.934795,"990 DEKALB AVE BROOKLYN, NY 11221",BROOKLYN,11221,3%,56%,38%,94%,0%
RONALD EDMONDS LEARNING CENTER II,40.673118,-73.920067,"430 HOWARD AVE BROOKLYN, NY 11233",BROOKLYN,11233,1%,84%,13%,96%,1%
SCHOOL FOR DEMOCRACY AND LEADERSHIP,40.658665,-73.943838,"600 KINGSTON AVE BROOKLYN, NY 11203",BROOKLYN,11203,0%,88%,8%,96%,1%
P.S. 273 WORTMAN,40.657867,-73.879289,"923 JEROME ST BROOKLYN, NY 11207",BROOKLYN,11207,1%,75%,23%,97%,1%
THE FRESH CREEK SCHOOL,40.65401,-73.894627,"875 WILLIAMS RD BROOKLYN, NY 11207",BROOKLYN,11207,1%,74%,23%,97%,1%
P.S. 194 RAOUL WALLENBERG,40.597404,-73.934085,"3117 AVE W BROOKLYN, NY 11229",BROOKLYN,11229,12%,49%,23%,73%,14%
J.H.S. 008 RICHARD S. GROSSLEY,40.696913,-73.786396,"108-35 167TH ST JAMAICA, NY 11433",JAMAICA,11433,12%,55%,21%,77%,1%
P.S. 057 HUBERT H. HUMPHREY,40.611011,-74.083588,"140 PALMA DR STATEN ISLAND, NY 10304",STATEN ISLAND,10304,4%,53%,34%,88%,7%
J.H.S. 291 ROLAND HAYES,40.695648,-73.915406,"231 PALMETTO ST BROOKLYN, NY 11221",BROOKLYN,11221,1%,15%,81%,96%,3%
SUMMIT ACADEMY CHARTER SCHOOL,40.677847,-74.004818,"27 HUNTINGTON ST BROOKLYN, NY 11231",BROOKLYN,11231,0%,49%,43%,92%,3%
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,8%,29%,55%,84%,4%
"P.S. 145, THE BLOOMINGDALE SCHOOL",40.79909,-73.965359,"150 W 105TH ST NEW YORK, NY 10025",NEW YORK,10025,2%,25%,63%,88%,7%
P.S. 102 JACQUES CARTIER,40.79495,-73.938295,"315 E 113TH ST NEW YORK, NY 10029",NEW YORK,10029,8%,30%,55%,85%,4%
ESPERANZA PREPARATORY ACADEMY,40.79259,-73.942119,"240 E 109TH ST NEW YORK, NY 10029",NEW YORK,10029,1%,15%,82%,97%,2%
P.S. 161 PEDRO ALBIZU CAMPOS,40.817721,-73.952459,"499 W 133RD ST NEW YORK, NY 10027",NEW YORK,10027,3%,18%,77%,95%,1%
KAPPA IV,40.817282,-73.947238,"6 EDGECOMBE AVE NEW YORK, NY 10030",NEW YORK,10030,6%,53%,39%,92%,1%
P.S./M.S. 029 MELROSE SCHOOL,40.821611,-73.916768,"758 COURTLANDT AVE BRONX, NY 10451",BRONX,10451,3%,28%,67%,96%,1%
P.S./I.S. 224,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454",BRONX,10454,0%,25%,74%,98%,1%
P.S. 062 INOCENSIO CASANOVA,40.813875,-73.90019,"660 FOX ST BRONX, NY 10455",BRONX,10455,0%,20%,77%,96%,3%
P.S. 072 DR. WILLIAM DORNEY,40.823158,-73.818136,"2951 DEWEY AVE BRONX, NY 10465",BRONX,10465,3%,19%,72%,92%,5%
P.S. 152 EVERGREEN,40.823978,-73.880504,"1007 EVERGREEN AVE BRONX, NY 10472",BRONX,10472,1%,18%,78%,96%,1%
THE HUNTS POINT SCHOOL,40.815594,-73.885238,"730 BRYANT AVE BRONX, NY 10474",BRONX,10474,0%,21%,77%,98%,1%
I.S. 219 NEW VENTURE SCHOOL,40.833708,-73.903937,"3630 3RD AVE BRONX, NY 10456",BRONX,10456,1%,37%,61%,98%,1%
P.S. 085 GREAT EXPECTATIONS,40.858852,-73.894829,"2400 MARION AVE BRONX, NY 10458",BRONX,10458,1%,29%,69%,98%,0%
THE ANGELO PATRI MIDDLE SCHOOL,40.854655,-73.897036,"2225 WEBSTER AVE BRONX, NY 10457",BRONX,10457,1%,25%,72%,97%,1%
P.S. 103 HECTOR FONTANEZ,40.892319,-73.861898,"4125 CARPENTER AVE BRONX, NY 10466",BRONX,10466,3%,53%,37%,90%,3%
J.H.S. 098 HERMAN RIDDER,40.835821,-73.890983,"1619 BOSTON RD BRONX, NY 10460",BRONX,10460,1%,29%,67%,96%,2%
P.S. 150 CHARLES JAMES FOX,40.826198,-73.894273,"920 E 167TH ST BRONX, NY 10459",BRONX,10459,1%,21%,76%,97%,1%
P.S. 212,40.828715,-73.900452,"1180 TINTON AVE BRONX, NY 10456",BRONX,10456,1%,35%,61%,95%,1%
JUAN MOREL CAMPOS SECONDARY SCHOOL,40.703878,-73.953472,"215 HEYWARD ST BROOKLYN, NY 11206",BROOKLYN,11206,1%,15%,78%,93%,5%
P.S. 335 GRANVILLE T. WOODS,40.674464,-73.928381,"130 ROCHESTER AVE BROOKLYN, NY 11213",BROOKLYN,11213,0%,80%,18%,98%,2%
P.S. 375 JACKIE ROBINSON SCHOOL,40.664878,-73.959522,"46 MCKEEVER PL BROOKLYN, NY 11225",BROOKLYN,11225,3%,62%,30%,92%,4%
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,40.677036,-73.960074,"443 ST MARKS AVE BROOKLYN, NY 11238",BROOKLYN,11238,6%,49%,29%,78%,14%
P.S. 219 KENNEDY-KING,40.658996,-73.922485,"1060 CLARKSON AVE BROOKLYN, NY 11212",BROOKLYN,11212,1%,85%,12%,97%,1%
P.S. 140 EDWARD K ELLINGTON,40.689923,-73.783228,"116-00 166TH ST JAMAICA, NY 11434",JAMAICA,11434,3%,71%,17%,88%,1%
P.S. 075 MAYDA CORTIELLA,40.693254,-73.921321,"95 GROVE ST BROOKLYN, NY 11221",BROOKLYN,11221,2%,21%,74%,96%,2%
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,40.802284,-73.95408,"215 W 114TH ST NEW YORK, NY 10026",NEW YORK,10026,2%,68%,27%,95%,1%
P.S. 007 SAMUEL STERN,40.800631,-73.939323,"160 E 120TH ST NEW YORK, NY 10035",NEW YORK,10035,3%,30%,62%,92%,4%
P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,40.795035,-73.947872,"1615 MADISON AVE NEW YORK, NY 10029",NEW YORK,10029,5%,28%,64%,92%,1%
P.S. 133 FRED R MOORE,40.809663,-73.939148,"2121 5TH AVE NEW YORK, NY 10037",NEW YORK,10037,4%,52%,37%,89%,5%
J.H.S. 131 ALBERT EINSTEIN,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473",BRONX,10473,3%,35%,60%,96%,1%
THE ACADEMY OF THE ARTS,40.820082,-73.898647,"888 REV J A POLITE AVE BRONX, NY 10459",BRONX,10459,1%,30%,67%,96%,1%
J.H.S. 022 JORDAN L. MOTT,40.832278,-73.914142,"270 E 167TH ST BRONX, NY 10456",BRONX,10456,1%,25%,72%,98%,1%
P.S. 199X - THE SHAKESPEARE SCHOOL,40.843553,-73.920665,"1449 SHAKESPEARE AVE BRONX, NY 10452",BRONX,10452,0%,30%,67%,97%,1%
P.S. 023 THE NEW CHILDREN'S SCHOOL,40.85336,-73.894798,"2151 WASHINGTON AVE BRONX, NY 10457",BRONX,10457,0%,37%,62%,99%,1%
P.S. 094 KINGS COLLEGE SCHOOL,40.88051,-73.875267,"3530 KINGS COLLEGE PL BRONX, NY 10467",BRONX,10467,11%,16%,68%,84%,3%
P.S. 078 ANNE HUTCHINSON,40.878465,-73.85058,"1400 NEEDHAM AVE BRONX, NY 10469",BRONX,10469,1%,72%,22%,94%,4%
P.S. 111 SETON FALLS,40.884355,-73.839263,"3740 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,0%,61%,36%,97%,1%
P.S. 040 GEORGE W. CARVER,40.680202,-73.921465,"265 RALPH AVE BROOKLYN, NY 11233",BROOKLYN,11233,3%,76%,17%,93%,2%
NORMA ADAMS CLEMONS ACADEMY,40.648983,-73.956246,"43 SNYDER AVE BROOKLYN, NY 11226",BROOKLYN,11226,0%,74%,23%,97%,2%
NEW BRIDGES ELEMENTARY,40.669514,-73.934328,"1025 EASTERN PKWY BROOKLYN, NY 11213",BROOKLYN,11213,1%,74%,21%,95%,2%
P.S. 013 ROBERTO CLEMENTE,40.663784,-73.893259,"557 PENNSYLVANIA AVE BROOKLYN, NY 11207",BROOKLYN,11207,1%,67%,28%,95%,3%
RIVERDALE AVENUE COMMUNITY SCHOOL,40.65997,-73.913616,"76 RIVERDALE AVE BROOKLYN, NY 11212",BROOKLYN,11212,2%,81%,14%,95%,1%
P.S. 043,40.594019,-73.761378,"160 BEACH 29TH ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,4%,60%,31%,91%,4%
P.S. 018 JOHN G. WHITTIER,40.636543,-74.116882,"221 BROADWAY STATEN ISLAND, NY 10310",STATEN ISLAND,10310,4%,43%,46%,89%,5%
NEW YORK CITY MONTESSORI CHARTER SCHOOL,40.808913,-73.921746,"423 E 138TH ST BRONX, NY 10454",BRONX,10454,1%,30%,65%,94%,1%
P.S. 064 ROBERT SIMON,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,7%,19%,66%,84%,7%
P.S. 191 AMSTERDAM,40.771743,-73.987572,"210 W 61ST ST NEW YORK, NY 10023",NEW YORK,10023,7%,36%,45%,81%,11%
STEM INSTITUTE OF MANHATTAN,40.801651,-73.955295,"240 W 113TH ST NEW YORK, NY 10026",NEW YORK,10026,3%,53%,38%,91%,4%
P.S. 129 JOHN H. FINLEY,40.814981,-73.952121,"425 W 130TH ST NEW YORK, NY 10027",NEW YORK,10027,2%,42%,51%,93%,1%
P.S. 004 DUKE ELLINGTON,40.834847,-73.941204,"500 W 160TH ST NEW YORK, NY 10032",NEW YORK,10032,1%,8%,91%,98%,0%
P.S. 001 COURTLANDT SCHOOL,40.819101,-73.91941,"335 E 152ND ST BRONX, NY 10451",BRONX,10451,0%,23%,74%,97%,2%
P.S. 043 JONAS BRONCK,40.806419,-73.921424,"165 BROWN PL BRONX, NY 10454",BRONX,10454,0%,27%,71%,98%,1%
P.S. 179,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454",BRONX,10454,1%,15%,83%,98%,0%
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,40.81366,-73.925999,"339 MORRIS AVE BRONX, NY 10451",BRONX,10451,1%,30%,67%,97%,2%
J.H.S. 125 HENRY HUDSON,40.829414,-73.856783,"1111 PUGSLEY AVE BRONX, NY 10472",BRONX,10472,20%,17%,54%,71%,7%
P.S. 011 HIGHBRIDGE,40.83973,-73.925913,"1257 OGDEN AVE BRONX, NY 10452",BRONX,10452,0%,30%,69%,99%,0%
P.S. 028 MOUNT HOPE,40.848338,-73.903702,"1861 ANTHONY AVE BRONX, NY 10457",BRONX,10457,1%,18%,81%,98%,1%
LUCERO ELEMENTARY SCHOOL,40.840366,-73.915716,"1425 WALTON AVE BRONX, NY 10452",BRONX,10452,1%,10%,87%,97%,1%
P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,40.87984,-73.910788,"360 W 230TH ST BRONX, NY 10463",BRONX,10463,2%,23%,72%,95%,2%
I.S. 206 ANN MERSEREAU,40.859604,-73.906275,"2280 AQUEDUCT AVE BRONX, NY 10468",BRONX,10468,1%,19%,78%,97%,1%
J.H.S. 144 MICHELANGELO,40.86429,-73.836566,"2545 GUNTHER AVE BRONX, NY 10469",BRONX,10469,3%,65%,29%,94%,2%
THE YOUNG SCHOLARS ACADEMY OF THE BRONX,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,2%,70%,25%,95%,2%
P.S. 214,40.839183,-73.88028,"1970 W FARMS RD BRONX, NY 10460",BRONX,10460,2%,25%,70%,95%,1%
URBAN SCHOLARS COMMUNITY SCHOOL,40.828715,-73.900452,"1180 TINTON AVE BRONX, NY 10456",BRONX,10456,1%,47%,52%,99%,1%
P.S. 003 THE BEDFORD VILLAGE,40.682307,-73.955241,"50 JEFFERSON AVE BROOKLYN, NY 11216",BROOKLYN,11216,11%,70%,12%,83%,2%
M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,40.678907,-73.9465,"31 NEW YORK AVE BROOKLYN, NY 11216",BROOKLYN,11216,1%,78%,19%,98%,1%
P.S. 221 TOUSSAINT L'OUVERTURE,40.663936,-73.93606,"791 EMPIRE BLVD BROOKLYN, NY 11213",BROOKLYN,11213,0%,86%,10%,97%,2%
P.S. 345 PATROLMAN ROBERT BOLDEN,40.676188,-73.879886,"111 BERRIMAN ST BROOKLYN, NY 11208",BROOKLYN,11208,7%,38%,51%,89%,2%
VAN SICLEN COMMUNITY MIDDLE SCHOOL,40.659637,-73.885597,"800 VAN SICLEN AVE BROOKLYN, NY 11207",BROOKLYN,11207,2%,68%,28%,96%,2%
TEACHERS PREPARATORY HIGH SCHOOL,40.66553,-73.912061,"226 BRISTOL ST BROOKLYN, NY 11212",BROOKLYN,11212,1%,80%,17%,97%,1%
P.S./I.S. 087 MIDDLE VILLAGE,40.711906,-73.871298,"67-54 80TH ST MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379,3%,1%,50%,51%,46%
P.S. 197 THE OCEAN SCHOOL,40.599988,-73.743995,"825 HICKSVILLE RD FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,2%,54%,40%,93%,4%
P.S. 040 SAMUEL HUNTINGTON,40.693996,-73.790818,"109-20 UNION HALL ST JAMAICA, NY 11433",JAMAICA,11433,11%,59%,23%,82%,5%
P.S. 052 QUEENS,40.661251,-73.766923,"178-37 146TH TERRACE JAMAICA, NY 11434",JAMAICA,11434,1%,86%,10%,96%,1%
P.S. 106 EDWARD EVERETT HALE,40.693691,-73.913234,"1328 PUTNAM AVE BROOKLYN, NY 11221",BROOKLYN,11221,2%,12%,86%,98%,1%
FAMILY LIFE ACADEMY CHARTER SCHOOL II,40.811498,-73.925102,"296 E 140TH ST BRONX, NY 10454",BRONX,10454,1%,27%,72%,99%,0%
ICAHN CHARTER SCHOOL 4,40.856635,-73.843042,"1500 PELHAM PKWY SOUTH BRONX, NY 10461",BRONX,10461,2%,61%,33%,95%,1%
RENAISSANCE SCHOOL OF THE ARTS,40.797495,-73.936193,"319 E 117TH ST NEW YORK, NY 10035",NEW YORK,10035,1%,45%,53%,98%,1%
CONCOURSE VILLAGE ELEMENTARY SCHOOL,40.823009,-73.92284,"750 CONCOURSE VILLAGE W BRONX, NY 10451",BRONX,10451,0%,33%,62%,95%,3%
P.S. 182,40.818892,-73.856982,"601 STICKBALL BLVD BRONX, NY 10473",BRONX,10473,8%,28%,62%,90%,2%
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,40.821448,-73.855654,"1980 LAFAYETTE AVE BRONX, NY 10473",BRONX,10473,7%,22%,68%,91%,1%
P.S. 109 SEDGWICK,40.851637,-73.918772,"1771 POPHAM AVE BRONX, NY 10453",BRONX,10453,0%,20%,80%,99%,1%
THOMAS C. GIORDANO MIDDLE SCHOOL 45,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458",BRONX,10458,1%,16%,78%,94%,4%
P.S. 096 RICHARD RODGERS,40.861185,-73.868521,"2385 OLINVILLE AVE BRONX, NY 10467",BRONX,10467,4%,25%,61%,86%,9%
P.S. 020 CLINTON HILL,40.691059,-73.971016,"225 ADELPHI ST BROOKLYN, NY 11205",BROOKLYN,11205,3%,54%,21%,75%,16%
P.S. 056 LEWIS H. LATIMER,40.684336,-73.960549,"170 GATES AVE BROOKLYN, NY 11238",BROOKLYN,11238,5%,80%,10%,90%,5%
P.S. 307 DANIEL HALE WILLIAMS,40.701781,-73.981587,"209 YORK ST BROOKLYN, NY 11201",BROOKLYN,11201,4%,57%,29%,86%,8%
P.S. 015 PATRICK F. DALY,40.677069,-74.011851,"71 SULLIVAN ST BROOKLYN, NY 11231",BROOKLYN,11231,2%,30%,51%,81%,13%
P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,40.683055,-73.929959,"500 MACON ST BROOKLYN, NY 11233",BROOKLYN,11233,1%,84%,14%,97%,2%
M.S. 246 WALT WHITMAN,40.648365,-73.953433,"72 VERONICA PL BROOKLYN, NY 11226",BROOKLYN,11226,1%,75%,21%,96%,2%
P.S. 224 HALE A. WOODRUFF,40.664057,-73.866271,"755 WORTMAN AVE BROOKLYN, NY 11208",BROOKLYN,11208,2%,65%,30%,95%,2%
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,40.669568,-73.879189,"605 SHEPHERD AVE BROOKLYN, NY 11208",BROOKLYN,11208,4%,59%,37%,96%,0%
P.S. 104 THE BAYS WATER,40.608307,-73.76471,"26-01 MOTT AVE FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,4%,48%,41%,90%,5%
P.S. 134 HOLLIS,40.70796,-73.755348,"203-02 109TH AVE HOLLIS, NY 11423",HOLLIS,11423,3%,86%,9%,95%,1%
P.S. 156 LAURELTON,40.672087,-73.743438,"229-02 137TH AVE SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,2%,90%,6%,97%,0%
P.S. 377 ALEJANDRINA B. DE GAUTIER,40.693817,-73.914879,"200 WOODBINE ST BROOKLYN, NY 11221",BROOKLYN,11221,1%,12%,85%,97%,2%
P.S. 154 HARRIET TUBMAN,40.810555,-73.948862,"250 W 127TH ST NEW YORK, NY 10027",NEW YORK,10027,4%,55%,36%,90%,4%
THURGOOD MARSHALL ACADEMY LOWER SCHOOL,40.825964,-73.937942,"276 W 151ST ST NEW YORK, NY 10027",NEW YORK,10027,3%,79%,14%,93%,1%
P.S. 048 JOSEPH R. DRAKE,40.814228,-73.886889,"1290 SPOFFORD AVE BRONX, NY 10474",BRONX,10474,1%,26%,71%,97%,1%
P.S. 100 ISAAC CLASON,40.82191,-73.862615,"800 TAYLOR AVE BRONX, NY 10473",BRONX,10473,1%,33%,64%,97%,1%
SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,40.823319,-73.860062,"885 BOLTON AVE BRONX, NY 10473",BRONX,10473,2%,31%,65%,96%,1%
MOTT HALL COMMUNITY SCHOOL,40.826997,-73.818271,"650 HOLLYWOOD AVE BRONX, NY 10465",BRONX,10465,4%,10%,69%,79%,18%
P.S. X114 - LUIS LLORENS TORRES SCHOOLS,40.835007,-73.923347,"1155 CROMWELL AVE BRONX, NY 10452",BRONX,10452,4%,22%,71%,93%,2%
I.S. 339,40.840589,-73.90454,"1600 WEBSTER AVE BRONX, NY 10457",BRONX,10457,1%,28%,70%,98%,1%
THE FAMILY SCHOOL,40.832033,-73.917519,"1116 SHERIDAN AVE BRONX, NY 10456",BRONX,10456,4%,28%,66%,94%,1%
P.S. 033 TIMOTHY DWIGHT,40.861675,-73.901633,"2424 JEROME AVE BRONX, NY 10468",BRONX,10468,2%,10%,84%,94%,2%
P.S. 360,40.874718,-73.902209,"2880 KINGSBRIDGE TER BRONX, NY 10463",BRONX,10463,2%,11%,84%,95%,3%
PELHAM GARDENS MIDDLE SCHOOL,40.86429,-73.836566,"2545 GUNTHER AVE BRONX, NY 10469",BRONX,10469,2%,67%,27%,95%,2%
P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,40.831394,-73.886584,"1001 JENNINGS ST BRONX, NY 10460",BRONX,10460,0%,27%,71%,98%,2%
BRONX LITTLE SCHOOL,40.838212,-73.866026,"1827 ARCHER ST BRONX, NY 10460",BRONX,10460,9%,18%,69%,87%,2%
P.S. 018 EDWARD BUSH,40.710655,-73.946565,"101 MAUJER ST BROOKLYN, NY 11206",BROOKLYN,11206,2%,16%,80%,96%,1%
P.S. 138 BROOKLYN,40.673945,-73.951395,"760 PROSPECT PL BROOKLYN, NY 11216",BROOKLYN,11216,1%,85%,9%,94%,4%
ESSENCE SCHOOL,40.662265,-73.894749,"590 SHEFFIELD AVE BROOKLYN, NY 11207",BROOKLYN,11207,4%,69%,20%,89%,7%
SPRING CREEK COMMUNITY SCHOOL,40.6573,-73.874138,"1065 ELTON ST BROOKLYN, NY 11208",BROOKLYN,11208,1%,72%,24%,96%,1%
LIBERTY AVENUE MIDDLE SCHOOL,40.676982,-73.883838,"350 LINWOOD ST BROOKLYN, NY 11208",BROOKLYN,11208,5%,24%,68%,92%,1%
P.S. 90 EDNA COHEN SCHOOL,40.578198,-73.980151,"2840 W 12TH ST BROOKLYN, NY 11224",BROOKLYN,11224,11%,13%,59%,72%,15%
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),40.680262,-73.91115,"251 MCDOUGAL ST BROOKLYN, NY 11233",BROOKLYN,11233,1%,78%,19%,97%,2%
MOTT HALL BRIDGES ACADEMY,40.666247,-73.91127,"210 CHESTER ST BROOKLYN, NY 11212",BROOKLYN,11212,0%,81%,16%,98%,1%
J.H.S. 162 THE WILLOUGHBY,40.706871,-73.92002,"1390 WILLOUGHBY AVE BROOKLYN, NY 11237",BROOKLYN,11237,2%,3%,92%,95%,2%
P.S. 274 KOSCIUSKO,40.694186,-73.928157,"800 BUSHWICK AVE BROOKLYN, NY 11221",BROOKLYN,11221,1%,10%,85%,95%,1%
MANHATTAN CHARTER SCHOOL II,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,6%,26%,63%,89%,2%
P.S. 019 ASHER LEVY,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,10%,20%,63%,83%,6%
LIFE SCIENCES SECONDARY SCHOOL,40.783283,-73.945937,"320 E 96TH ST NEW YORK, NY 10128",NEW YORK,10128,5%,31%,60%,91%,2%
THE LEXINGTON ACADEMY,40.791451,-73.947448,"131 E 104TH ST NEW YORK, NY 10029",NEW YORK,10029,1%,13%,83%,95%,3%
P.S. 049 WILLIS AVENUE,40.810342,-73.922626,"383 E 139TH ST BRONX, NY 10454",BRONX,10454,0%,29%,68%,98%,1%
YOUNG LEADERS ELEMENTARY SCHOOL,40.809216,-73.920032,"468 E 140TH ST BRONX, NY 10454",BRONX,10454,0%,18%,81%,99%,1%
THE WALTON AVENUE SCHOOL,40.840366,-73.915716,"1425 WALTON AVE BRONX, NY 10452",BRONX,10452,1%,22%,73%,95%,3%
P.S. 246 POE CENTER,40.865975,-73.895314,"2641 GRAND CONCOURSE BRONX, NY 10468",BRONX,10468,2%,10%,85%,95%,2%
I.S. 254,40.858858,-73.889841,"2452 WASHINGTON AVE BRONX, NY 10458",BRONX,10458,3%,18%,78%,95%,1%
P.S. 291,40.859165,-73.909733,"2195 ANDREWS AVE BRONX, NY 10453",BRONX,10453,0%,11%,88%,99%,0%
P.S. 340,40.869429,-73.897161,"25 W 195TH ST BRONX, NY 10468",BRONX,10468,3%,9%,85%,94%,2%
CORNERSTONE ACADEMY FOR SOCIAL ACTION,40.883064,-73.830908,"3441 STEENWICK AVE BRONX, NY 10475",BRONX,10475,0%,54%,41%,96%,2%
P.S. 211,40.84385,-73.890063,"1919 PROSPECT AVE BRONX, NY 10457",BRONX,10457,0%,15%,84%,98%,1%
P.S. 147 ISAAC REMSEN,40.705023,-73.938707,"325 BUSHWICK AVE BROOKLYN, NY 11206",BROOKLYN,11206,3%,23%,65%,88%,6%
P.S. 092 ADRIAN HEGEMAN,40.656271,-73.954146,"601 PARKSIDE AVE BROOKLYN, NY 11226",BROOKLYN,11226,6%,76%,18%,93%,1%
P.S. 108 SAL ABBRACCIAMENTO,40.681272,-73.884346,"200 LINWOOD ST BROOKLYN, NY 11208",BROOKLYN,11208,6%,12%,79%,91%,2%
P.S. 159 ISAAC PITKIN,40.676117,-73.869676,"2781 PITKIN AVE BROOKLYN, NY 11208",BROOKLYN,11208,32%,39%,26%,65%,1%
I.S. 364 GATEWAY,40.646471,-73.881132,"1426 FREEPORT LOOP BROOKLYN, NY 11239",BROOKLYN,11239,2%,69%,26%,94%,3%
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,40.669568,-73.879189,"605 SHEPHERD AVE BROOKLYN, NY 11208",BROOKLYN,11208,2%,60%,36%,95%,1%
P.S. 329 SURFSIDE,40.574839,-73.995807,"2929 W 30TH ST BROOKLYN, NY 11224",BROOKLYN,11224,6%,59%,27%,86%,7%
P.S. 150 CHRISTOPHER,40.668635,-73.905086,"364 SACKMAN ST BROOKLYN, NY 11212",BROOKLYN,11212,2%,59%,32%,91%,3%
